part_index,part_name,measure_number,abs_measure_index,staff,voice,beat,beat_pos,offset_ql_in_measure,start_ql,duration_ql,pitch_name,midi,global_beat
0,Score,1,0,2,,1,0.000,0.000,0.000,3.000,G2,43,1
0,Score,1,0,2,,1,0.333,1.000,1.000,2.000,B3,59,2
0,Score,1,0,2,,1,0.333,1.000,1.000,2.000,D4,62,2
0,Score,1,0,2,,1,0.333,1.000,1.000,2.000,F#4,66,2
0,Score,2,1,2,,1,0.000,0.000,3.000,3.000,D2,38,3
0,Score,2,1,2,,1,0.333,1.000,4.000,2.000,A3,57,4
0,Score,2,1,2,,1,0.333,1.000,4.000,2.000,C#4,61,4
0,Score,2,1,2,,1,0.333,1.000,4.000,2.000,F#4,66,4
0,Score,3,2,2,,1,0.000,0.000,6.000,3.000,G2,43,5
0,Score,3,2,2,,1,0.333,1.000,7.000,2.000,B3,59,6
0,Score,3,2,2,,1,0.333,1.000,7.000,2.000,D4,62,6
0,Score,3,2,2,,1,0.333,1.000,7.000,2.000,F#4,66,6
0,Score,4,3,2,,1,0.000,0.000,9.000,3.000,D2,38,7
0,Score,4,3,2,,1,0.333,1.000,10.000,2.000,A3,57,8
0,Score,4,3,2,,1,0.333,1.000,10.000,2.000,C#4,61,8
0,Score,4,3,2,,1,0.333,1.000,10.000,2.000,F#4,66,8
0,Score,5,4,2,,1,0.000,0.000,12.000,3.000,G2,43,9
0,Score,5,4,1,,1,0.667,1.000,13.000,1.000,F#5,78,10
0,Score,5,4,2,,1,0.667,1.000,13.000,2.000,B3,59,10
0,Score,5,4,2,,1,0.667,1.000,13.000,2.000,D4,62,10
0,Score,5,4,2,,1,0.667,1.000,13.000,2.000,F#4,66,10
0,Score,5,4,1,,2,0.333,2.000,14.000,1.000,A5,81,11
0,Score,6,5,1,,1,0.000,0.000,15.000,1.000,G5,79,12
0,Score,6,5,2,,1,0.000,0.000,15.000,3.000,D2,38,12
0,Score,6,5,1,,2,0.000,1.000,16.000,1.000,F#5,78,13
0,Score,6,5,2,,2,0.000,1.000,16.000,2.000,A3,57,13
0,Score,6,5,2,,2,0.000,1.000,16.000,2.000,C#4,61,13
0,Score,6,5,2,,2,0.000,1.000,16.000,2.000,F#4,66,13
0,Score,6,5,1,,3,0.000,2.000,17.000,1.000,C#5,73,14
0,Score,7,6,1,,1,0.000,0.000,18.000,1.000,B4,71,15
0,Score,7,6,2,,1,0.000,0.000,18.000,3.000,G2,43,15
0,Score,7,6,1,,2,0.000,1.000,19.000,1.000,C#5,73,16
0,Score,7,6,2,,2,0.000,1.000,19.000,2.000,B3,59,16
0,Score,7,6,2,,2,0.000,1.000,19.000,2.000,D4,62,16
0,Score,7,6,2,,2,0.000,1.000,19.000,2.000,F#4,66,16
0,Score,7,6,1,,3,0.000,2.000,20.000,1.000,D5,74,17
0,Score,8,7,1,,1,0.000,0.000,21.000,3.000,A4,69,18
0,Score,8,7,2,,1,0.000,0.000,21.000,3.000,D2,38,18
0,Score,8,7,2,,1,0.333,1.000,22.000,2.000,A3,57,19
0,Score,8,7,2,,1,0.333,1.000,22.000,2.000,C#4,61,19
0,Score,8,7,2,,1,0.333,1.000,22.000,2.000,F#4,66,19
0,Score,9,8,1,,1,0.000,0.000,24.000,3.000,F#4,66,20
0,Score,9,8,2,,1,0.000,0.000,24.000,3.000,G2,43,20
0,Score,9,8,2,,1,0.333,1.000,25.000,2.000,B3,59,21
0,Score,9,8,2,,1,0.333,1.000,25.000,2.000,D4,62,21
0,Score,9,8,2,,1,0.333,1.000,25.000,2.000,F#4,66,21
0,Score,10,9,1,,1,0.000,0.000,27.000,3.000,F#4,66,22
0,Score,10,9,2,,1,0.000,0.000,27.000,3.000,D2,38,22
0,Score,10,9,2,,1,0.333,1.000,28.000,2.000,A3,57,23
0,Score,10,9,2,,1,0.333,1.000,28.000,2.000,C#4,61,23
0,Score,10,9,2,,1,0.333,1.000,28.000,2.000,F#4,66,23
0,Score,11,10,1,,1,0.000,0.000,30.000,3.000,F#4,66,24
0,Score,11,10,2,,1,0.000,0.000,30.000,3.000,G2,43,24
0,Score,11,10,2,,1,0.333,1.000,31.000,2.000,B3,59,25
0,Score,11,10,2,,1,0.333,1.000,31.000,2.000,D4,62,25
0,Score,11,10,2,,1,0.333,1.000,31.000,2.000,F#4,66,25
0,Score,12,11,1,,1,0.000,0.000,33.000,3.000,F#4,66,26
0,Score,12,11,2,,1,0.000,0.000,33.000,3.000,D2,38,26
0,Score,12,11,2,,1,0.333,1.000,34.000,2.000,A3,57,27
0,Score,12,11,2,,1,0.333,1.000,34.000,2.000,C#4,61,27
0,Score,12,11,2,,1,0.333,1.000,34.000,2.000,F#4,66,27
0,Score,13,12,2,,1,0.000,0.000,36.000,3.000,G2,43,28
0,Score,13,12,1,,1,0.667,1.000,37.000,1.000,F#5,78,29
0,Score,13,12,2,,1,0.667,1.000,37.000,2.000,B3,59,29
0,Score,13,12,2,,1,0.667,1.000,37.000,2.000,D4,62,29
0,Score,13,12,2,,1,0.667,1.000,37.000,2.000,F#4,66,29
0,Score,13,12,1,,2,0.333,2.000,38.000,1.000,A5,81,30
0,Score,14,13,1,,1,0.000,0.000,39.000,1.000,G5,79,31
0,Score,14,13,2,,1,0.000,0.000,39.000,3.000,D2,38,31
0,Score,14,13,1,,2,0.000,1.000,40.000,1.000,F#5,78,32
0,Score,14,13,2,,2,0.000,1.000,40.000,2.000,A3,57,32
0,Score,14,13,2,,2,0.000,1.000,40.000,2.000,C#4,61,32
0,Score,14,13,2,,2,0.000,1.000,40.000,2.000,F#4,66,32
0,Score,14,13,1,,3,0.000,2.000,41.000,1.000,C#5,73,33
0,Score,15,14,1,,1,0.000,0.000,42.000,1.000,B4,71,34
0,Score,15,14,2,,1,0.000,0.000,42.000,3.000,G2,43,34
0,Score,15,14,1,,2,0.000,1.000,43.000,1.000,C#5,73,35
0,Score,15,14,2,,2,0.000,1.000,43.000,2.000,B3,59,35
0,Score,15,14,2,,2,0.000,1.000,43.000,2.000,D4,62,35
0,Score,15,14,2,,2,0.000,1.000,43.000,2.000,F#4,66,35
0,Score,15,14,1,,3,0.000,2.000,44.000,1.000,D5,74,36
0,Score,16,15,1,,1,0.000,0.000,45.000,3.000,A4,69,37
0,Score,16,15,2,,1,0.000,0.000,45.000,3.000,D2,38,37
0,Score,16,15,2,,1,0.333,1.000,46.000,2.000,A3,57,38
0,Score,16,15,2,,1,0.333,1.000,46.000,2.000,C#4,61,38
0,Score,16,15,2,,1,0.333,1.000,46.000,2.000,F#4,66,38
0,Score,17,16,1,,1,0.000,0.000,48.000,3.000,C#5,73,39
0,Score,17,16,2,,1,0.000,0.000,48.000,3.000,F#2,42,39
0,Score,17,16,2,,1,0.333,1.000,49.000,2.000,A3,57,40
0,Score,17,16,2,,1,0.333,1.000,49.000,2.000,C#4,61,40
0,Score,17,16,2,,1,0.333,1.000,49.000,2.000,F#4,66,40
0,Score,18,17,1,,1,0.000,0.000,51.000,3.000,F#5,78,41
0,Score,18,17,2,,1,0.000,0.000,51.000,3.000,B1,35,41
0,Score,18,17,2,,1,0.333,1.000,52.000,2.000,B3,59,42
0,Score,18,17,2,,1,0.333,1.000,52.000,2.000,D4,62,42
0,Score,18,17,2,,1,0.333,1.000,52.000,2.000,F#4,66,42
0,Score,19,18,1,,1,0.000,0.000,54.000,3.000,E4,64,43
0,Score,19,18,2,,1,0.000,0.000,54.000,3.000,E2,40,43
0,Score,19,18,2,,1,0.333,1.000,55.000,2.000,G3,55,44
0,Score,19,18,2,,1,0.333,1.000,55.000,2.000,B3,59,44
0,Score,20,19,1,,1,0.000,0.000,57.000,3.000,E4,64,45
0,Score,20,19,2,,1,0.000,0.000,57.000,3.000,E2,40,45
0,Score,20,19,2,,1,0.333,1.000,58.000,2.000,B3,59,46
0,Score,20,19,2,,1,0.333,1.000,58.000,2.000,D4,62,46
0,Score,20,19,2,,1,0.333,1.000,58.000,2.000,G4,67,46
0,Score,21,20,1,,1,0.000,0.000,60.000,3.000,E4,64,47
0,Score,21,20,2,,1,0.000,0.000,60.000,3.000,D2,38,47
0,Score,21,20,2,,1,0.333,1.000,61.000,2.000,F3,53,48
0,Score,21,20,2,,1,0.333,1.000,61.000,2.000,A3,57,48
0,Score,21,20,2,,1,0.333,1.000,61.000,2.000,D4,62,48
0,Score,22,21,1,,1,0.000,0.000,63.000,1.000,A4,69,49
0,Score,22,21,2,,1,0.000,0.000,63.000,3.000,A1,33,49
0,Score,22,21,1,,2,0.000,1.000,64.000,1.000,B4,71,50
